ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,forecASD,STRING_score,BrainSpan_score,STRING+BrainSpan_RF,krishnan_post,D_ens,D,TADA_BF,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000380880,80148,PQLC1,0.0000175,FALSE,NA,0.000252469,0.004,0.174,0.147,0.007,0.447,0.013937353,-0.210967425,0.589084266,0.924505751,0.921551108,0.908382843,0.793538108,0,1,0
ENSP00000252491,341,APOC1,0.00000386,FALSE,NA,0.050738273,0.004,0.163,0.129,0.011,0.417,0.005315914,-0.552511343,0.521446264,0.886014652,0.88462991,0.91891175,0.892943532,0,1,0
ENSP00000248058,390892,OR7A10,0.00001082,FALSE,NA,0.007992982,0.004,0.093,0.009,0.000,0.488,NA,NA,0.488026396,0.911087386,0.91024937,0.928307383,0.913623459,0,1,0
ENSP00000362508,54657,UGT1A4,0.00002337,FALSE,NA,2.34299E-06,0.004,0.234,0.027,0.000,0.429,NA,NA,0.565881339,0.928767671,0.927642056,0.911337713,0.80487348,0,1,0
ENSP00000307297,113189,CHST14,0.0000193,FALSE,NA,0.594619351,0.004,0.177,0.047,0.021,0.446,0.059850554,-0.445227028,0.441326086,0.926932475,0.925792217,0.936864733,0.92773029,0,1,7.851032294
ENSP00000335307,503841,DEFB106B,0.000002414,FALSE,NA,NA,0.004,0.100,0.163,0.001,0.447,NA,NA,0.53020509,0.879534602,0.8775292,0.916391897,1,0,1,0
ENSP00000298283,140801,RPL10L,0.0000107,FALSE,NA,0.02605492,0.004,0.349,0.400,0.020,0.408,NA,NA,0.635266368,0.908220007,0.907421471,0.901142339,0.841400168,0,1,12.68227996
ENSP00000307889,6137,RPL13,0.00001487,FALSE,NA,0.914867445,0.004,0.378,0.214,0.092,0.015,0.054713882,-0.506538545,0.465613702,0.91988998,0.918907574,0.933087976,0.921809919,0,1,0
ENSP00000388666,3384,ICAM2,0.00001399,FALSE,NA,0.023266939,0.004,0.301,0.170,0.032,0.333,0.02956389,0.012215005,0.414509337,0.937905931,0.936047913,0.939464178,0.920515277,0,1,8.918401189
ENSP00000310216,8302,KLRC4,0.00000487,FALSE,NA,0.001087349,0.004,0.077,0.128,0.000,0.491,NA,NA,0.521068463,0.890114613,0.889347081,0.919006015,0.815957783,0,1,0
ENSP00000396774,200958,MUC20,0.0000274,FALSE,NA,NA,0.004,0.213,0.268,0.045,0.445,0.021877268,-0.026471279,0.403705168,0.934646606,0.932807256,0.940430599,0.934610377,0,1,0
ENSP00000247470,29108,PYCARD,0.0000132,FALSE,NA,0.016503554,0.004,0.410,0.079,0.197,0.444,0.012998422,-0.375232405,0.469895217,0.933613148,0.932146119,0.932287354,0.919133336,0,1,0
ENSP00000285379,760,CA2,0.00000959,FALSE,NA,0.100369923,0.004,0.410,0.149,0.231,0.43,0.023404238,-0.114647749,0.643461683,0.906043785,0.903674215,0.899404946,0.910048101,0,1,0
ENSP00000364749,79363,RSG1,0.00001265,FALSE,NA,1.08197E-06,0.004,0.406,0.311,0.385,0.447,0.015416454,-0.150453846,0.471504264,0.933280348,0.931881774,0.932046449,0.917905221,0,1,0
ENSP00000381588,7113,TMPRSS2,0.00002659,FALSE,NA,0.062064328,0.004,0.406,0.035,0.171,0.414,0.008454237,-0.369629499,0.530022063,0.933481139,0.931655364,0.91643709,0.934145636,0,1,0
ENSP00000303709,7324,UBE2E1,0.00000792,FALSE,NA,0.872957997,0.004,0.396,0.157,0.043,0.489,0.079014793,-0.387553825,0.656153879,0.906649511,0.897927069,0.896988963,0.90556987,0,1,0
ENSP00000304004,3171,FOXA3,0.00001825,FALSE,NA,0.395510308,0.004,0.396,0.025,0.098,0.459,0.038266321,-0.111140076,0.446771352,0.925693744,0.924457144,0.93607471,0.926419501,0,1,0
ENSP00000330721,374659,HDDC3,0.00000499,FALSE,NA,0.071830628,0.004,0.396,0.147,0.048,0.323,0.007383989,-0.505217109,0.786137659,0.868533584,0.866971425,0.881607342,0.89656156,0,1,0
ENSP00000290552,79190,IRX6,0.00002671,FALSE,NA,2.81616E-08,0.004,0.394,0.040,0.105,0.427,0.008851446,-0.273246636,0.612808884,0.925291139,0.924247716,0.904949148,0.877839069,0,1,2.16919446
ENSP00000323264,153562,MARVELD2,0.00002322,FALSE,NA,4.23034E-11,0.004,0.394,0.142,0.043,0.418,0.020151852,0.051765197,0.738824867,0.902624913,0.899110771,0.885618533,0.937468731,0,1,0
